Anno,Maschi,Femmine,Totale,Zona
2007,78800.0,88959.0,167759.0,"Baggio, De Angeli, San Siro"
2008,78307.0,88296.0,166603.0,"Baggio, De Angeli, San Siro"
2009,78621.0,88743.0,167364.0,"Baggio, De Angeli, San Siro"
2010,79331.0,89510.0,168841.0,"Baggio, De Angeli, San Siro"
2011,80212.0,90584.0,170796.0,"Baggio, De Angeli, San Siro"
2012,81463.0,91606.0,173069.0,"Baggio, De Angeli, San Siro"
2013,80406.0,90335.0,170741.0,"Baggio, De Angeli, San Siro"
2014,80360.0,90397.0,170757.0,"Baggio, De Angeli, San Siro"
2015,80869.0,90846.0,171715.0,"Baggio, De Angeli, San Siro"
2016,81435.0,91405.0,172840.0,"Baggio, De Angeli, San Siro"
2017,81820.0,91758.0,173578.0,"Baggio, De Angeli, San Siro"
2018,82838.0,92562.0,175400.0,"Baggio, De Angeli, San Siro"
2019,83651.0,93153.0,176804.0,"Baggio, De Angeli, San Siro"
2020,82722.0,92150.0,174872.0,"Baggio, De Angeli, San Siro"
2021,82190.0,91520.0,173710.0,"Baggio, De Angeli, San Siro"
2022,83121.0,92112.0,175233.0,"Baggio, De Angeli, San Siro"
2023,83991.0,92823.0,176814.0,"Baggio, De Angeli, San Siro"
2007,67893.0,77898.0,145791.0,"Barona, Lorenteggio"
2008,67316.0,77489.0,144805.0,"Barona, Lorenteggio"
2009,67488.0,77726.0,145214.0,"Barona, Lorenteggio"
2010,68128.0,78401.0,146529.0,"Barona, Lorenteggio"
2011,69191.0,79237.0,148428.0,"Barona, Lorenteggio"
2012,70206.0,80052.0,150258.0,"Barona, Lorenteggio"
2013,69660.0,79264.0,148924.0,"Barona, Lorenteggio"
2014,69419.0,79228.0,148647.0,"Barona, Lorenteggio"
2015,69741.0,79520.0,149261.0,"Barona, Lorenteggio"
2016,70038.0,79543.0,149581.0,"Barona, Lorenteggio"
2017,70344.0,79940.0,150284.0,"Barona, Lorenteggio"
2018,70939.0,80281.0,151220.0,"Barona, Lorenteggio"
2019,71558.0,80498.0,152056.0,"Barona, Lorenteggio"
2020,71037.0,79712.0,150749.0,"Barona, Lorenteggio"
2021,70926.0,79139.0,150065.0,"Barona, Lorenteggio"
2022,71326.0,79369.0,150695.0,"Barona, Lorenteggio"
2023,72632.0,80310.0,152942.0,"Barona, Lorenteggio"
2007,45314.0,52207.0,97521.0,Centro
2008,45023.0,51869.0,96892.0,Centro
2009,44889.0,51840.0,96729.0,Centro
2010,45011.0,52152.0,97163.0,Centro
2011,45080.0,52479.0,97559.0,Centro
2012,45416.0,52860.0,98276.0,Centro
2013,44543.0,51688.0,96231.0,Centro
2014,44378.0,51262.0,95640.0,Centro
2015,44702.0,51476.0,96178.0,Centro
2016,44922.0,51804.0,96726.0,Centro
2017,45247.0,52092.0,97339.0,Centro
2018,45853.0,52626.0,98479.0,Centro
2019,46247.0,53219.0,99466.0,Centro
2020,45810.0,52724.0,98534.0,Centro
2021,45448.0,52388.0,97836.0,Centro
2022,45742.0,52494.0,98236.0,Centro
2023,46311.0,53006.0,99317.0,Centro
2007,64265.0,73553.0,137818.0,"Città Studi, Lambrate, Venezia"
2008,64187.0,73519.0,137706.0,"Città Studi, Lambrate, Venezia"
2009,64657.0,73969.0,138626.0,"Città Studi, Lambrate, Venezia"
2010,65202.0,74618.0,139820.0,"Città Studi, Lambrate, Venezia"
2011,65762.0,75228.0,140990.0,"Città Studi, Lambrate, Venezia"
2012,66831.0,76030.0,142861.0,"Città Studi, Lambrate, Venezia"
2013,66025.0,75121.0,141146.0,"Città Studi, Lambrate, Venezia"
2014,65124.0,74722.0,139846.0,"Città Studi, Lambrate, Venezia"
2015,65563.0,74880.0,140443.0,"Città Studi, Lambrate, Venezia"
2016,66018.0,74969.0,140987.0,"Città Studi, Lambrate, Venezia"
2017,67544.0,75312.0,142856.0,"Città Studi, Lambrate, Venezia"
2018,68196.0,75839.0,144035.0,"Città Studi, Lambrate, Venezia"
2019,68371.0,76101.0,144472.0,"Città Studi, Lambrate, Venezia"
2020,68016.0,75543.0,143559.0,"Città Studi, Lambrate, Venezia"
2021,67690.0,74943.0,142633.0,"Città Studi, Lambrate, Venezia"
2022,68444.0,75040.0,143484.0,"Città Studi, Lambrate, Venezia"
2023,69392.0,75953.0,145345.0,"Città Studi, Lambrate, Venezia"
2007,83135.0,92710.0,175845.0,"Fiera, Gallaratese, Quarto Oggiaro"
2008,83154.0,92546.0,175700.0,"Fiera, Gallaratese, Quarto Oggiaro"
2009,83957.0,93228.0,177185.0,"Fiera, Gallaratese, Quarto Oggiaro"
2010,85047.0,94333.0,179380.0,"Fiera, Gallaratese, Quarto Oggiaro"
2011,85769.0,95111.0,180880.0,"Fiera, Gallaratese, Quarto Oggiaro"
2012,87088.0,96122.0,183210.0,"Fiera, Gallaratese, Quarto Oggiaro"
2013,86402.0,95191.0,181593.0,"Fiera, Gallaratese, Quarto Oggiaro"
2014,85952.0,95082.0,181034.0,"Fiera, Gallaratese, Quarto Oggiaro"
2015,86418.0,95626.0,182044.0,"Fiera, Gallaratese, Quarto Oggiaro"
2016,87087.0,96284.0,183371.0,"Fiera, Gallaratese, Quarto Oggiaro"
2017,88552.0,97553.0,186105.0,"Fiera, Gallaratese, Quarto Oggiaro"
2018,89672.0,98627.0,188299.0,"Fiera, Gallaratese, Quarto Oggiaro"
2019,91019.0,99531.0,190550.0,"Fiera, Gallaratese, Quarto Oggiaro"
2020,90869.0,99031.0,189900.0,"Fiera, Gallaratese, Quarto Oggiaro"
2021,91064.0,98903.0,189967.0,"Fiera, Gallaratese, Quarto Oggiaro"
2022,92449.0,99838.0,192287.0,"Fiera, Gallaratese, Quarto Oggiaro"
2023,95073.0,101489.0,196562.0,"Fiera, Gallaratese, Quarto Oggiaro"
2007,67682.0,70691.0,138373.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2008,67617.0,70410.0,138027.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2009,69201.0,71716.0,140917.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2010,71106.0,73156.0,144262.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2011,73730.0,75067.0,148797.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2012,76978.0,77003.0,153981.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2013,76725.0,76337.0,153062.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2014,76145.0,76721.0,152866.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2015,77583.0,77388.0,154971.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2016,78794.0,78023.0,156817.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2017,80266.0,78823.0,159089.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2018,82172.0,79875.0,162047.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2019,82795.0,80210.0,163005.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2020,81740.0,79545.0,161285.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2021,81508.0,79307.0,160815.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2022,82311.0,79405.0,161716.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2023,83385.0,80346.0,163731.0,"Stazione Centrale, Gorla, Turro, Greco, Crescenzago"
2007,81903.0,86545.0,168448.0,"Stazione Garibaldi, Niguarda"
2008,81960.0,86565.0,168525.0,"Stazione Garibaldi, Niguarda"
2009,83426.0,87876.0,171302.0,"Stazione Garibaldi, Niguarda"
2010,85040.0,89118.0,174158.0,"Stazione Garibaldi, Niguarda"
2011,86945.0,90312.0,177257.0,"Stazione Garibaldi, Niguarda"
2012,89899.0,92199.0,182098.0,"Stazione Garibaldi, Niguarda"
2013,89711.0,91826.0,181537.0,"Stazione Garibaldi, Niguarda"
2014,89595.0,92531.0,182126.0,"Stazione Garibaldi, Niguarda"
2015,90732.0,93195.0,183927.0,"Stazione Garibaldi, Niguarda"
2016,91418.0,93670.0,185088.0,"Stazione Garibaldi, Niguarda"
2017,92124.0,94380.0,186504.0,"Stazione Garibaldi, Niguarda"
2018,92855.0,94873.0,187728.0,"Stazione Garibaldi, Niguarda"
2019,93360.0,95057.0,188417.0,"Stazione Garibaldi, Niguarda"
2020,92296.0,94271.0,186567.0,"Stazione Garibaldi, Niguarda"
2021,92147.0,93818.0,185965.0,"Stazione Garibaldi, Niguarda"
2022,93061.0,94395.0,187456.0,"Stazione Garibaldi, Niguarda"
2023,95292.0,95364.0,190656.0,"Stazione Garibaldi, Niguarda"
2007,56722.0,60880.0,117602.0,"Vigentino, Chiaravalle, Gratosoglio"
2008,56662.0,60830.0,117492.0,"Vigentino, Chiaravalle, Gratosoglio"
2009,57110.0,61386.0,118496.0,"Vigentino, Chiaravalle, Gratosoglio"
2010,57842.0,62010.0,119852.0,"Vigentino, Chiaravalle, Gratosoglio"
2011,58774.0,62710.0,121484.0,"Vigentino, Chiaravalle, Gratosoglio"
2012,60537.0,63951.0,124488.0,"Vigentino, Chiaravalle, Gratosoglio"
2013,60334.0,63397.0,123731.0,"Vigentino, Chiaravalle, Gratosoglio"
2014,59580.0,63158.0,122738.0,"Vigentino, Chiaravalle, Gratosoglio"
2015,60030.0,63362.0,123392.0,"Vigentino, Chiaravalle, Gratosoglio"
2016,60422.0,63869.0,124291.0,"Vigentino, Chiaravalle, Gratosoglio"
2017,60839.0,64030.0,124869.0,"Vigentino, Chiaravalle, Gratosoglio"
2018,61508.0,64553.0,126061.0,"Vigentino, Chiaravalle, Gratosoglio"
2019,62023.0,64894.0,126917.0,"Vigentino, Chiaravalle, Gratosoglio"
2020,61107.0,64187.0,125294.0,"Vigentino, Chiaravalle, Gratosoglio"
2021,60516.0,63537.0,124053.0,"Vigentino, Chiaravalle, Gratosoglio"
2022,60939.0,63907.0,124846.0,"Vigentino, Chiaravalle, Gratosoglio"
2023,62111.0,64726.0,126837.0,"Vigentino, Chiaravalle, Gratosoglio"
2007,69578.0,79128.0,148706.0,"Vittoria, Forlanini"
2008,69456.0,78867.0,148323.0,"Vittoria, Forlanini"
2009,70519.0,79748.0,150267.0,"Vittoria, Forlanini"
2010,71681.0,80527.0,152208.0,"Vittoria, Forlanini"
2011,73303.0,81782.0,155085.0,"Vittoria, Forlanini"
2012,74756.0,82791.0,157547.0,"Vittoria, Forlanini"
2013,74197.0,82095.0,156292.0,"Vittoria, Forlanini"
2014,74148.0,82216.0,156364.0,"Vittoria, Forlanini"
2015,74784.0,82565.0,157349.0,"Vittoria, Forlanini"
2016,75190.0,83088.0,158278.0,"Vittoria, Forlanini"
2017,76126.0,83566.0,159692.0,"Vittoria, Forlanini"
2018,77111.0,84382.0,161493.0,"Vittoria, Forlanini"
2019,77651.0,84582.0,162233.0,"Vittoria, Forlanini"
2020,77303.0,83883.0,161186.0,"Vittoria, Forlanini"
2021,77120.0,83474.0,160594.0,"Vittoria, Forlanini"
2022,78109.0,83929.0,162038.0,"Vittoria, Forlanini"
2023,80263.0,85130.0,165393.0,"Vittoria, Forlanini"

